Congress-led UDF calls for shutdown in Kerala over Pinarayi clean ...,TopNews,7 May 2009,http://www.topnews.in/congressled-udf-calls-shutdown-kerala-over-pinarayi-clean-chit-2163062,Vijayan  who had been under the scanner in the case  was State Electricity Minister when the SNC Lavalin scam broke out 12 years ago. SNC Lavalin power ...
'Don't delay punishment for Satyam fraudsters',Rediff,14 May 2009,http://business.rediff.com/slide-show/2009/may/14/slide-show-1-dont-delay-punishment-for-satyam-fraudsters.htm,The Securities and Exchange Board of India chairman C B Bhave said punishment should be quick for the perpetrators of fraud at IT firm Satyam Computer.
Sebi faces attrition woes at its legal division,Livemint,4 Jan 2009,http://www.livemint.com/Politics/WQo2ThxA0o8OMW8dBVl0hL/Sebi-faces-attrition-woes-at-its-legal-division.html,SAT set aside a Sebi order that directed Karvy Stock Broking Ltd on 4 May to pay for alleged inappropriate gains from a so-called initial public offering scam.
IMF chief warns of 'Great Recession',Chandigarh Tribune,10 Mar 2009,http://www.tribuneindia.com/2009/20090311/biz.htm,The International Monetary Fund on Tuesday warned that the world economy will likely contract this year in a ''Great Recession'' and African leaders said the ...
Time for tighter norms to protect stakeholders' interest,Hindu Business Line,30 Mar 2009,http://www.thehindubusinessline.com/todays-paper/tp-corporate/time-for-tighter-norms-to-protect-stakeholders-interest/article1045631.ece,That the twin Maytas companies are run by the family members of the scam-tainted founder of Satyam  Mr Ramalinga Raju  is clearly a case of blatant jettisoning ...
Gujarat's Lok Sabha results: Scanning of Saurashtra verdict,DeshGujarat,17 May 2009,http://deshgujarat.com/2009/05/17/gujarats-lok-sabha-results-scanning-of-saurashtra-verdict/,Bavalia  an accused in a multi-crore land scam and murder case  contesting the elections after his release on bail from a month-long period in jail in December  ...
Who Killed Karkare? The Real Face Of Terrorism In India,CounterCurrents.org,26 Oct 2009,http://www.countercurrents.org/haque261009.htm,Mushrif  who has over three decades of diligent policing behind him and whose feats include exposing the Telgi scam  has made an elaborate case out of nearly ...
Why Bengal scrapped a major IT project,Rediff,9 Sep 2009,http://www.rediff.com/money/slide-show/slide-show-1-tech-bengal-it-project-what-went-wrong/20090909.htm,For the second time in as many years there is no 'Puja bonanza' for the young crop of job seekers in West Bengal. Last year  on October 3  just a few days before ...
Water port: AP to review Maytas deal,Rediff,10 Aug 2009,http://business.rediff.com/report/2009/aug/10/satyam-ap-to-review-maytas-deal.htm,Earlier  another consortium led by Maytas Infra  which is promoted by the kins of scam-tainted founder of Satyam Computer B Ramalinga Raju  had lost the ...
Ranjeet `Don' granted bail,Times of India,5 May 2009,http://timesofindia.indiatimes.com/city/patna/Ranjeet-Don-granted-bail/articleshow/4487760.cms,PATNA: The Patna High Court on Tuesday granted bail to the medical admission scam accused  Kumar Suman Singh alias Ranjeet Singh  better known as ...
MP Govt. promoted incompetent non-civil service officers to IAS key ...,ummid.com,25 Dec 2009,http://www.ummid.com/news/december/26.12.2009/mp_govt_promoted_incompetent_officers_to_key_posts.htm,Apart from Chief Minister the others involved in the scam are: Finance Minister Raghavji  Commerce & Industries Minister Kailash Vijayvargiya  Jail Minister ...
Hashish smugglers encourage needy villagers,Chandigarh Tribune,30 Jul 2009,http://www.tribuneindia.com/2009/20090731/himachal.htm,The contraband cannabis hybrid crop is flourishing in the remote hidden patches of Ougal Thatch  Tosh Kotla  Pinsu and Malunder forest areas. Mafias were ...
House resents raw deal to state,Chandigarh Tribune,7 Aug 2009,http://www.tribuneindia.com/2009/20090808/himachal.htm,Cutting across party lines  the Vidhan Sabha today expressed anguish over the step-motherly treatment being meted out to the hill state in the expansion of rail ...
Ramalinga Raju suffers heart attack; hospitalised,Rediff,7 Sep 2009,http://business.rediff.com/report/2009/sep/08/satyam-raju-suffers-heart-attack-hospitalised.htm,An accused in the Rs 7 800 crore (Rs 78 billion) Satyam scam  who has been provided a VIP status in jail  is also enjoying the same in the hospital. He has been ...
TVS Motor will not hike prices next month,Personal Finance Magazine Moneylife,22 Dec 2009,http://www.moneylife.in/article/tvs-motor-will-not-hike-prices-next-month/2902.html,The prices for TVS Motor vehicles will not increase from next month. However  by April 2010  analysts believe that the consumer may have to spend more for ...
14th Lok Sabha marked by fewest sittings; stage set for election,Livemint,26 Feb 2009,http://www.livemint.com/Politics/mg6XIdRo2cBKnwYlrbxXwL/14th-Lok-Sabha-marked-by-fewest-sittings-stage-set-for-elec.html,... was witness to a record number of disqualifications  including the expulsion of 10 member for their alleged involvement in a cash-for-questions scam.
Aurobindo Pharma's acquisition of Trident Life,Livemint,18 Aug 2009,http://www.livemint.com/Money/QjZ74hfWhv7D5FwiCkpc6I/Aurobindo-Pharma8217s-acquisition-of-Trident-Life.html,The Satyam scam has lent more credence to such concerns. The caution is all the more warranted because Aurobindo is buying a group company with a plant ...
Icai probe of GTB-Price Waterhouse on for 4 years,Livemint,15 Jan 2009,http://www.livemint.com/Home-Page/qkXXNXxrXQepNgQnankAPO/Icai-probe-of-GTBPrice-Waterhouse-on-for-4-years.html,GTB almost collapsed after it was discovered that the bank was involved in the stock market scam engineered by Ketan Parekh. Price Waterhouse is an arm of ...
Vivek Paul to be new Satyam CEO?,Rediff,14 Jan 2009,http://specials.rediff.com/money/2009/jan/14sld13-satyam-scam-rages-on.htm,The markets are abuzz with the news that Vivek Paul  former vice chairman of Wipro  might be appointed the new chief executive officer of Satyam Computer ...
Two rape case suspects sent to police custody,Times of India,1 Nov 2009,http://timesofindia.indiatimes.com/city/pune/Two-rape-case-suspects-sent-to-police-custody/articleshow/5186983.cms,PUNE: A magistrate court on Sunday sent Ashraf Mohammed Khan (21) of Wanowrie and Rupesh Tarachand Chavan (22) of Kondhwa to police custody till ...
Meet the Sebi chief CB Bhave,Rediff,28 Apr 2009,http://business.rediff.com/special/2009/apr/28/meet-the-sebi-chief-bhave.htm,Bhave had initially declined the Sebi post since  when he headed it  NSDL had challenged the Sebi order implicating it in the IPO scam. But Finance Minister P ...
Police custody for 2 hoods held in TV studio,Times of India,20 Jan 2009,http://timesofindia.indiatimes.com/city/delhi/Police-custody-for-2-hoods-held-in-TV-studio/articleshow/4008746.cms,NEW DELHI: Two alleged members of the Satya Prakash gang  who were arrested from a TV channel's studio in Noida by Delhi Police following an encounter ...
Now  report cards for doctors,Chandigarh Tribune,30 May 2009,http://www.tribuneindia.com/2009/20090531/haryana.htm,After streamlining the working of government doctors and addressing their grievances  the Health Department has introduced a daily performance report for its ...
It can take a year to turn around Maytas Infra  says IL&FS chief,Hindu Business Line,1 Sep 2009,http://www.thehindubusinessline.com/todays-paper/it-can-take-a-year-to-turn-around-maytas-infra-says-ilfs-chief/article1061005.ece,It had to suffer due to its link with the scam-hit Satyam Computer. We decided after a consensus that we are wanted.” IL&FS will have a fresh look at the ...
