Guruta Gaddi Divas celebrations begin,Chandigarh Tribune,11 Oct 2008,http://www.tribuneindia.com/2008/20081012/himachal.htm,The town bore a festive look as celebrations in connection with the 300th anniversary of the investiture of spiritual authority on Guru Granth Sahib  popularly ...
Terrorism is a global phenomenon,Merinews,8 Oct 2008,http://www.merinews.com/article/terrorism-is-a-global-phenomenon/143604.shtml,Terrorism has it roots in factors like unemployment and corruption. Coupled with ignorance and poverty  it can ruin a country. We should present a united front ...
Post office should be 'window to the world',Livemint,2 Nov 2008,http://www.livemint.com/Politics/BRDvKikIESKHvU2RidBrYO/Post-office-should-be-8216window-to-the-world8217.html,And for us one of the biggest challenges today is the issue of corruption. People toil for days and don't get their remuneration because it's been taken away by ...
Spain wants West to change strategy in Afghanistan,TopNews,11 Nov 2008,http://www.topnews.in/spain-wants-west-change-strategy-afghanistan-287320,... ISAF and US troops  United Nations control over them  support of neighbouring Pakistan and Iran  and measures against corruption in the Afghan government.
Now  DJB nod must for drilling borewells in city,Times of India,3 Dec 2008,http://timesofindia.indiatimes.com/city/delhi/Now-DJB-nod-must-for-drilling-borewells-in-city/articleshow/3789541.cms,While CGWA in its defence said that they had done this to reduce corruption  the notice saw several borewells springing up overnight in these districts.
Will Musharraf's resignation bring stability to Pakistan?,Reuters India (blog),18 Aug 2008,http://blogs.reuters.com/pakistan/2008/08/18/will-musharrafs-resignation-bring-stability-to-pakistan/,In 1786 Edmund Burke introduced an impeachment process against him on charges of corruption; after a trial that lasted from 1788 to 1795  Hastings was ...
Online support: 'Oh my God  he's cute!',Chandigarh Tribune,1 Jan 2008,http://www.tribuneindia.com/2008/20080102/world.htm,Diplomatic pressure mounted today on Kenya's political leaders to stem the violence that has engulfed the country in the wake of disputed presidential elections  ...
Malaysian police to mount recruitment drive,TopNews,3 Dec 2008,http://www.topnews.in/malaysian-police-mount-recruitment-drive-295107,... prospect among Malaysians  many of whom regard police officers as poorly-paid members of an organisation wracked with corruption and abuse of power.
Holding aloft the Kannada torch,Citizen Matters,30 Jul 2008,http://bangalore.citizenmatters.in/articles/311-udayabhanu-kala-sangha,... of living is increasing due to growth of black money and corruption  UDAYA BANU may organise seminars to make people aware of the havoc of corruption.
Democracy strikes back in Pak,The Tribune,19 Feb 2008,http://www.tribuneindia.com/2008/20080220/main1.htm,... National Reconciliation Ordinance (NRO)  an apparent reference to the law under which corruption charges against slain PPP chairperson Benazir Bhutto and ...
Impeachment case filed against Philippines' Arroyo,Reuters India,13 Oct 2008,http://in.reuters.com/article/idINIndia-35930720081013,The complaint accuses Arroyo of corruption  extra-judicial killings  torture and illegal arrests. One of the complainants is a woman whose activist son has been ...
BMTC crushes American professor,Times of India,23 Nov 2008,http://timesofindia.indiatimes.com/city/bengaluru/BMTC-crushes-American-professor/articleshow/3748741.cms,Bangalore : An American citizen and visiting professor at a city college was killed on Saturday evening after being hit by a BMTC bus while he was cycling near ...
Tribune celebrates 127th founder's day,Chandigarh Tribune,2 Feb 2008,http://www.tribuneindia.com/2008/20080203/nation.htm,The Tribune family today reiterated its commitment to maintaining highest professional values and standards in journalism at the 127th founder's day function ...
As winter sets in  vitamin C vanishes from shops,Times of India,21 Nov 2008,http://timesofindia.indiatimes.com/india/As-winter-sets-in-vitamin-C-vanishes-from-shops/articleshow/3743019.cms,NEW DELHI: If vitamin C supplements are your staple every winter  you may have to consider switching to natural alternatives like amla this year. Reason: There ...
Science In The Sick Bay,Times of India,24 Apr 2008,http://timesofindia.indiatimes.com/edit-page/LEADER-ARTICLE-Science-In-The-Sick-Bay/articleshow/2973153.cms,Indian researchers contributed a mere 2.16 per cent of the world's science and technology publication between 1993 and 2004. This is the figure given in ...
Fake certificate racket busted,Times of India,25 Sep 2008,http://timesofindia.indiatimes.com/city/hyderabad/Fake-certificate-racket-busted/articleshow/3529134.cms,Puravankara; Hassle-free & safe property ownership in IndiaSmartowner; 10 people most affected by Modi's anti-corruption campaignCRITICSUNION ...
