Indonesia passes controversial graft court bill,Reuters India,29 Sep 2009,http://in.reuters.com/article/idINIndia-42785820090929,A member of Indonesia's House of Parliament sitting in empty meeting room before a plenary session to pass the controversial Corruption Court Bill in Jakarta ...
Bangladesh ex-PM Khaleda faces graft charge,Reuters India,7 Sep 2009,http://in.reuters.com/article/idINIndia-42273920090907,Bangladesh ex-PM Khaleda faces graft charge ... the main opposition Bangladesh Nationalist Party (BNP)  as she appeared before him to hear the graft charge.
CBI detains IT officer for graft,Times of India,27 Feb 2009,http://timesofindia.indiatimes.com/city/mumbai/CBI-detains-I-T-officer-for-graft/articleshow/4202936.cms,MUMBAI: The CBI and the income tax department are locked in a faceoff. The reason is the unsavoury effect of a trap laid by the CBI to catch an income tax ...
Ex-DG of ordnance factory arrested on graft charges,Times of India,19 May 2009,http://timesofindia.indiatimes.com/india/Ex-DG-of-ordnance-factory-arrested-on-graft-charges/articleshow/4552945.cms,NEW DELHI: A former Director General of Ordnance Factories  Kolkata  who also served as the chairman of the Ordnance Factory Board  has been arrested by ...
Graft tainted MCD official suspended,Times of India,19 Mar 2009,http://timesofindia.indiatimes.com/city/delhi/Graft-tainted-MCD-official-suspended/articleshow/4289229.cms,new delhi: Ashok Kumar  the deputy commissioner of Najafgarh Zone  who was arrested by the anti-corruption department of Delhi government on Wednesday  ...
Taiwan ex-president's son pleads guilty in graft case,Reuters India,21 Jan 2009,http://in.reuters.com/article/idINIndia-37576520090121,Chen was charged last month with graft  money laundering and misuse of public funds following a probe that embroiled his son  Chen Chih-chung  his son's wife ...
Chief of Bangladesh's anti-graft body resigns,TopNews,2 Apr 2009,http://www.topnews.in/chief-bangladeshs-antigraft-body-resigns-2146634,Chief of Bangladesh's anti-graft body resigns Dhaka - The chief of Bangladesh's anti-graft authority resigned Thursday  saying that new leadership is needed to ...
Over 300 DDA employees face corruption charges,Indian Express,16 Sep 2009,http://archive.indianexpress.com/news/over-300-dda-employees-face-corruption-charges/517812/,... six executive engineers and three superintendent engineers among others are found to be allegedly involved in graft charges. Surprisingly  18 senior officials ...
Post PM's surgery  fears over re-do bypass lessen,Times of India,17 Nov 2009,http://timesofindia.indiatimes.com/city/mumbai/Post-PMs-surgery-fears-over-re-do-bypass-lessen/articleshow/5241142.cms,Coronary Artery Bypass Graft (CABG): Patients with coronary artery disease have narrowed or blocked arteries. This leads to lowered supply of oxygen and ...
Short-term success of male to female kidney transplants 'doubtful',TopNews,29 Jul 2009,http://www.topnews.in/shortterm-success-male-female-kidney-transplants-doubtful-2195828,They followed almost 117 877 patients for at least one-year post transplant  out of which 16 135 experienced kidney graft failure and 6 878 died within the year.
Body's own veins better for grafts than synthetic ones,TopNews,1 Jan 2010,http://www.topnews.in/bodys-own-veins-better-grafts-synthetic-ones-2249160,Aortic graft infections are one of the most serious complications in patients undergoing aortic grafting procedures for peripheral arterial disease (PAD) and aortic ...
Taking lessons in honesty,Times of India,14 Feb 2009,http://timesofindia.indiatimes.com/home/sunday-times/all-that-matters/Taking-lessons-in-honesty-to-fight-corruption/articleshow/4130109.cms,Schools across south-east Asian countries are 'catching them young' by introducing anti-graft and 'honest education' theory and practice in the school ...
The hair-raising costs of restoration,Business Standard,6 Aug 2009,http://www.business-standard.com/article/beyond-business/the-hair-raising-costs-of-restoration-109080700052_1.html,Each graft  with 1-4 hairs  must be artfully inserted so as to look natural. “You have to have to give ” says Dr Dua  explaining that hair surgery doesn't work ...
Govt suspends RA Yadav from AICTE chairman post,Livemint,29 Jul 2009,http://www.livemint.com/Politics/w1AOmGsMvTEXl6KSdsorGJ/Govt-suspends-RA-Yadav-from-AICTE-chairman-post.html,New Delhi: The ministry for human resource development  which oversees education  on Wednesday put R.A. Yadav  chairman of the All India Council for ...
City's first skin bank opened,Times of India,22 Nov 2009,http://timesofindia.indiatimes.com/city/pune/Citys-first-skin-bank-opened/articleshow/5258457.cms,PUNE: Patients with severe burn injuries who need post-operative skin graft  will no longer have to search for skin donors. City's first skin bank was launched at ...
Why am I unable to sleep on my left side?,DoctorNDTV,22 Aug 2009,http://doctor.ndtv.com/faq/ndtv/fid/19336/Why_am_I_unable_to_sleep_on_my_left_side.html,Q. I am a 51 years old male who underwent coronary artery bypass graft (CBAG) seven years back. For the last one and a half year  I am unable to sleep on my ...
German farmer flexes fingers after double-arm transplant,TopNews,20 Jul 2009,http://www.topnews.in/german-farmer-flexes-fingers-after-doublearm-transplant-2191171,For a number of years surgeons have been able to re-attach fingers  hands and partial arms  or to graft donated limbs on to a patient. Merk's case  however  is ...
Kerala governor's decision not surprising: Achuthanandan,TopNews,10 Jun 2009,http://www.topnews.in/kerala-governor-s-decision-not-surprising-achuthanandan-2176288,On Sunday  Gavai had given sanction to the CBI to prosecute Vijayan in connection with his involvement in the sensitive SNC Lavalin graft case. He had called ...
Opposition calls on Bangladesh's government to quit,TopNews,2 May 2009,http://www.topnews.in/opposition-calls-bangladeshs-government-quit-2160983,Hasina was also detained by the military-backed government on graft charges. (dpa). » Check out More news from Telecom Sector :: Pharmaceutical Sector ...
We were outplayed  concedes Sangakkara,Rediff,6 Dec 2009,http://cricket.rediff.com/report/2009/dec/06/we-were-outplayed-concedes-sangakkara.htm,"Our fast bowlers sometimes created chances but then onwards it was a tough graft. They (India) were always ahead of the game when it came to their batting ...
'Dare to bare' Pak fashionistas thumb a nose at Taliban,Times of India,5 Nov 2009,http://timesofindia.indiatimes.com/world/pakistan/Dare-to-bare-Pak-fashionistas-thumb-a-nose-at-Taliban/articleshow/5199975.cms,KARACHI: Bare shoulders  backless gowns and pouting models are wowing Pakistan's glitterati as Karachi fashion week shows the world a different side of the ...
Hashish smugglers encourage needy villagers,Chandigarh Tribune,30 Jul 2009,http://www.tribuneindia.com/2009/20090731/himachal.htm,The contraband cannabis hybrid crop is flourishing in the remote hidden patches of Ougal Thatch  Tosh Kotla  Pinsu and Malunder forest areas. Mafias were ...
Bypass surgery better than angioplasty for certain heart patients,TopNews,20 Mar 2009,http://topnews.in/bypass-surgery-better-angioplasty-certain-heart-patients-2142102,It showed that for patients suffering from multi-vessel coronary artery disease  who had diabetes  and for patients older than 65  coronary artery bypass graft ...
BJP sounds its workers,Chandigarh Tribune,7 Mar 2009,http://www.tribuneindia.com/2009/20090308/haryana.htm,The CPM virtually kicked off its poll campaign for the forthcoming parliamentary elections during a state-level rally of the Haryana unit of the All-India Kisan ...
Philippines orders return of Marcos jewellery,Reuters India,15 Jun 2009,http://in.reuters.com/article/idINIndia-40337920090615,The Philippine government has ordered an anti-graft agency to return jewellery worth over $310 million to Imelda Marcos that was seized after her husband was ...
Blood transfusions linked with two-fold increase in post-operative ...,TopNews,31 Jul 2009,http://topnews.in/blood-transfusions-linked-twofold-increase-postoperative-infection-rates-2196430,Published in the open access journal BMC Medicine  the study on almost 25 000 coronary artery bypass graft (CABG) patients also found considerable hospital ...
IPS officer held for smuggling heroin,Chandigarh Tribune,25 Jan 2009,http://www.tribuneindia.com/2009/20090126/main8.htm,... resident Lior Avi Ben Moyel in 2005 with 155 kg of charas. Lior's wife Lada had got arrested another constable of NCB Paramjit Singh by CBI in a graft case.
Ski village project may be cancelled,Chandigarh Tribune,16 Oct 2009,http://www.tribuneindia.com/2009/20091017/himachal.htm,With promoters of the Himalayan Ski Village (HSV) failing to submit the Environment Impact Assessment (EIA) report  it is most likely that the government would ...
Search for Google ends in Karnataka,Times of India,26 Nov 2009,http://timesofindia.indiatimes.com/india/Search-for-Google-ends-in-Karnataka/articleshow/5273604.cms,RAICHUR: You can't google in Google. For  Google  a tiny village about 510km north-east of Bangalore  doesn't have internet connectivity. This village on the ...
How China gifted 50kg uranium for two bombs to Pakistan,Times of India,12 Nov 2009,http://timesofindia.indiatimes.com/world/pakistan/How-China-gifted-50kg-uranium-for-two-bombs-to-Pakistan/articleshow/5226165.cms,WASHINGTON: China's dirty little secret of nuclear proliferation to Pakistan  including virtually giving Islamabad two nuclear weapons on a platter while the US ...
Thailand  Cambodia recall envoys over Thaksin spat,Reuters India,5 Nov 2009,http://in.reuters.com/article/idINIndia-43706820091105,It said it would reject any request to extradite the billionaire on the grounds that his removal in a 2006 coup and subsequent graft conviction were politically ...
Failed NIFT student moves HC,Times of India,22 Apr 2009,http://timesofindia.indiatimes.com/city/ahmedabad/Failed-NIFT-student-moves-HC/articleshow/4437161.cms,Ahmedabad: The Gujarat High Court on Wednesday raised several questions on the exam evaluation system of National Institute of Fashion Technology  ...
Drought won't impact India's agri export: APEDA,Rediff,17 Aug 2009,http://www.rediff.com/money/2009/aug/17drought-wont-impact-indias-agri-export-apeda.htm,A dry piece of land India's export of major agricultural products  which registered nearly 25 per cent growth in 2008-09  will not be impacted by the drought  ...
Ex-Thai PM Thaksin cancels Hong Kong speech,Reuters India,28 Feb 2009,http://in.reuters.com/article/idINIndia-38260620090228,... Prime Minister Abhisit Vejjajiva said Bangkok would explore legal avenues for asking China to extradite Thaksin  convicted of graft and on the run overseas.
NRIs flood govt with real estate grievances,Times of India,29 Dec 2009,http://timesofindia.indiatimes.com/india/NRIs-flood-govt-with-real-estate-grievances/articleshow/5392553.cms,NEW DELHI: A real-life version of `Khosla ka ghosla' is being played out with an increasing number of non-resident Indians (NRIs). Complaints of real estate ...
Indian Ocean frontman dies of cardiac arrest at 53,Times of India,25 Dec 2009,http://timesofindia.indiatimes.com/india/Indian-Ocean-frontman-dies-of-cardiac-arrest-at-53/articleshow/5380020.cms,NEW DELHI: Indie rock fans from across the country said goodbye to the 'man with the golden voice' after Asheem Chakravarty  singer and percussionist for ...
Satyam employee commits suicide,Times of India,15 Jan 2009,http://timesofindia.indiatimes.com/city/chennai/Satyam-employee-commits-suicide-fearing-job-loss/articleshow/3984281.cms,CHENNAI: Apparently fearing that he may lose his job  a 23-year-old employee of scam-ravaged Satyam Computers allegedly committed suicide here  police ...
Parel murder: Hubby  sis-in-law gave 'supari' to kill,Times of India,17 Dec 2009,http://timesofindia.indiatimes.com/city/mumbai/Parel-murder-Hubby-sis-in-law-gave-supari-to-kill/articleshow/5349706.cms,MUMBAI: The sensational Kalachowky murder case which had foxed Mumbai's cops for more than a month and a half was solved with the arrest of the victim's ...
Govt introduces bill to extend SC/ST quota,Times of India,31 Jul 2009,http://timesofindia.indiatimes.com/india/Govt-introduces-bill-to-extend-SC/ST-quota/articleshow/4839094.cms,NEW DELHI: The government on Thursday introduced a Constitutional amendment Bill in the Rajya Sabha to extend by another 10 years reservation of seats for ...
Burglary spree at Pandara Road,Times of India,2 Jul 2009,http://timesofindia.indiatimes.com/city/delhi/Burglary-spree-at-Pandara-Road/articleshow/4730430.cms,NEW DELHI: At a time when recession has dented the salary packages in private sector  robbers seem to be aware about the sixth pay commission. No wonder ...
Second time lucky with IVF!,Times of India,22 Apr 2009,http://timesofindia.indiatimes.com/city/ahmedabad/Second-time-lucky-with-IVF/articleshow/4437160.cms,Ahmedabad: Childless couples who became parents with the help of IVF technique popularly known as test tube baby method are now opting for the treatment ...
CA student kidnaps boy to offset dad's losses,Times of India,19 Mar 2009,http://timesofindia.indiatimes.com/city/delhi/CA-student-kidnaps-boy-to-offset-dads-losses/articleshow/4289809.cms,NEW DELHI: In what appears to be a shocking case of recession-related crime  a first-year student of chartered accountancy kidnapped and then murdered a ...
Home Study Outcome of bypass surgery may be strongly predicted ...,HealthJockey.com,8 Sep 2009,http://www.healthjockey.com/2009/09/08/outcome-of-bypass-surgery-may-be-strongly-predicted-by-levels-of-cardiac-troponin-t/,... should continue to be based largely on clinical judgment and angiographic demonstration of postoperative closure of a bypass graft  which is fortunately a rare ...
IELTS scam kingpin arrested,Times of India,25 Oct 2009,http://timesofindia.indiatimes.com/city/ludhiana/IELTS-scam-kingpin-arrested/articleshow/5161020.cms,LUDHIANA: Police have arrested the kingpin of International English Language Testing System (IELTS) scam  that had come to light on July 6  2009  when they ...
Man shot at for refusing to serve liquor in car  4 held,Times of India,6 Sep 2009,http://timesofindia.indiatimes.com/city/delhi/Man-shot-at-for-refusing-to-serve-liquor-in-car-4-held/articleshow/4978998.cms,NOIDA: Noida police on Saturday arrested four youths for allegedly shooting at a salesman of a liquor shop after he refused to serve them alcohol inside their ...
Mines left villages ravaged,Times of India,10 Feb 2009,http://timesofindia.indiatimes.com/city/delhi/Mines-left-villages-ravaged/articleshow/4108305.cms,FARIDABAD: The blasts may have stopped five days ago but the ravaged mines of Khori Jamalpur and Sirohi continue to supply construction material.
Great Lakes to start PhD in management,Times of India,29 Apr 2009,http://timesofindia.indiatimes.com/city/chennai/Great-Lakes-to-start-PhD-in-management/articleshow/4465538.cms,CHENNAI: Leading B-School  Great Lakes Institute of Management (GLIM) is planning to introduce Phd programmes in management from 2010 in association ...
Bijwasan to be city's third world class station,Times of India,3 Jul 2009,http://timesofindia.indiatimes.com/city/delhi/Bijwasan-to-be-citys-third-world-class-station/articleshow/4735304.cms,NEW DELHI: Delhiites were in for a pleasant surprise when Union railway minister Mamata Banerjee chose to gift Delhi its third world-class station  at Bijwasan ...
NREGA gets Mahatma Gandhi tag,Rediff,2 Oct 2009,http://business.rediff.com/report/2009/oct/02/nrega-gets-mahatma-gandhi-tag.htm,The government on Friday renamed its flagship rural job guarantee programme - National Rural Employment Guarantee Act (NREGA) - after Mahatma Gandhi.
Indian scientists rejoice as Chandrayaan-1 traces water on moon,Times of India,24 Sep 2009,http://timesofindia.indiatimes.com/india/Indian-scientists-rejoice-as-Chandrayaan-1-traces-water-on-moon/articleshow/5049459.cms,NEW DELHI: As news trickled out about Indian maiden lunar mission tracing water molecules on the moon's surface  scientists rejoiced at the discovery and ...
Bull bar: Bully on road,Times of India,15 Jan 2009,http://timesofindia.indiatimes.com/city/delhi/Bull-bar-Bully-on-road/articleshow/3985929.cms,new delhi : If Delhi drivers are in the mould of road warriors  the bull bar could be their most potent weapon. It is strong metal grill fitted on the front of a car that ...
From this year  only BSc (H) maths,Times of India,25 May 2009,http://timesofindia.indiatimes.com/city/delhi/From-this-year-only-BSc-H-maths/articleshow/4577031.cms,new delhi : DU is all set to unleash mathemagic this academic session. The university has repackaged mathematics syllabus to include more of practical aspects ...
Ordnance factory officer ends life,Times of India,28 May 2009,http://timesofindia.indiatimes.com/city/nagpur/Ordnance-factory-officer-ends-life/articleshow/4591306.cms,NAGPUR: A senior officer of Ordnance Factory Ambajhari (OFAJ)  in his late 50s  allegedly committed suicide by jumping into the Gandhi Sagar on Thursday.
Family court to decide if couple's marriage or divorce is valid,Times of India,29 Jan 2009,http://timesofindia.indiatimes.com/city/mumbai/Family-court-to-decide-if-couples-marriage-or-divorce-is-valid/articleshow/4049401.cms,MUMBAI: Almost 12 years after their divorce  a Muslim couple in Mumbai finds itself back in the family court to figure out if they are still married. Reason: The wife ...
Poet Kailash Vajpeyi honoured with Sahitya Akademi award,Times of India,23 Dec 2009,http://timesofindia.indiatimes.com/india/Poet-Kailash-Vajpeyi-honoured-with-Sahitya-Akademi-award/articleshow/5371978.cms,NEW DELHI: Renowned Hindi poet Kailash Vajpeyi has been honoured with the Sahitya Akademi award for his work  Hawa mein hastakshar (Signature in the ...
Gayatri Devi: A maharani and a beauty,Times of India,29 Jul 2009,http://timesofindia.indiatimes.com/india/Gayatri-Devi-A-maharani-and-a-beauty/articleshow/4834040.cms,JAIPUR: A maharani's death is always momentous but Gayatri Devi's may be specially so because she left behind a rich and detailed account of her life of ...
Naveen Patnaik's master stroke in Orissa,Rediff,11 Mar 2009,http://www.rediff.com/news/special/guest-naveen-patnaik-master-stroke-in-orissa/20090311.htm,It is known that BJP's few ministers are facing graft charges while voters are swearing by Patnaik's clean image. In the last nine years of Patnaik's rule not only ...
Now  even Hindu brides walk down the aisle,Times of India,13 Dec 2009,http://timesofindia.indiatimes.com/india/Now-even-Hindu-brides-walk-down-the-aisle/articleshow/5334790.cms,If the idea of a wedding reception invokes the image of an overdressed couple sweating on gaudy medieval thrones with fake smiles firmly in place  we hope it's ...
The Future of Heart Transplants in India,MedIndia,4 Feb 2009,http://www.medindia.net/news/interviews/the-future-of-heart-transplants-in-india-47072-1.htm,Medindia spoke to Padmashri Dr. K.M. Cherian  MBBS  MS  FRACS  DSc (Hon)  DSc (HC)  who pioneered the Coronary Artery Bypass Graft (CABG) surgery  ...
Mixed fortunes for Team India,Rediff,28 Dec 2009,http://cricket.rediff.com/slide-show/2009/dec/28/slide-show-1-cricket-year-ender-2009-year-of-indias-ascent-to-test-pinnacle.htm,The IPL gold-rush drew players in droves and Sachin Tendulkar completed two illustrious decades  but 2009 will be fondly remembered as the year of India's ...
The Beta Male,Outlook,4 Dec 2009,http://www.outlookindia.com/magazine/story/the-beta-male/263152,#3 persistent partha : it's a mistake to graft our (US) culture wars to Indian situations. Dec 07  2009 05:21 AM SreekanthBoston  Boston  United States. Reply Like.
Hong Kong cancels its travel warning for passengers to Bangkok,TopNews,24 Apr 2009,http://www.topnews.in/hong-kong-cancels-its-travel-warning-passengers-bangkok-2156297,Top Hong Kong official arrested in multi-million dollar graft case Hong Kong - The Hong Kong government Friday cancelled its travel warning for Bangkok after ...
CM undergoes spine surgery,Times of India,11 Feb 2009,http://timesofindia.indiatimes.com/city/chennai/CM-undergoes-spine-surgery/articleshow/4114798.cms,"The part of the bone that we removed from the lamina was used as a graft from where the degenerated disc was removed " the hospital's chief orthopaedic ...
Kolkata takes first step towards preserving umbilical cord blood,TopNews,21 Jan 2009,http://www.topnews.in/kolkata-takes-first-step-towards-preserving-umbilical-cord-blood-2113094,... according to Dr Mark Kirkland  Haematologist and Associate Professor  University of Melboure  are far higher because they prevent `Graft vs Host Disease'  ...
PM recovering well  taken off ventilator: Doctor,Times of India,25 Jan 2009,http://timesofindia.indiatimes.com/india/PM-recovering-well-taken-off-ventilator-Doctor/articleshow/4026161.cms,For the right artery that was least affected  a graft was taken from the saphenous vein in the left leg. "The new grafts  all 3 mm long  will last the PM the rest of his ...
Govt hurries to fill vacancies in Law Board,Rediff,25 Nov 2009,http://www.rediff.com/money/report/govt-hurries-to-fill-vacancies-in-law-board/20091126.htm,Law books The government has put its act together to see that the Company Law Board  the quasi-judicial body that gives verdicts on litigation and complaints ...
John Deere to focus on small tractors for India,Rediff,3 Dec 2009,http://www.rediff.com/money/report/john-deere-for-small-tractors-in-india/20091204.htm,US-based farm and construction equipment maker John Deere plans to rejig its tractor business in India by focussing more on smaller segment and is looking to ...
