Govt takes over Lalit Kala Akademi's management,Business Standard,6 Apr 2015,http://www.business-standard.com/article/pti-stories/govt-takes-over-lalit-kala-akademi-s-management-115040601123_1.html,The government has taken over the management control of Lalit Kala Akademi  an autonomous organisation of the Culture Ministry  following several complaints ...
CBI raids on logistics company,Business Standard,20 Aug 2015,http://www.business-standard.com/article/pti-stories/cbi-raids-on-logistics-company-115082001224_1.html,CBI today carried out searches on a leading logistics company in connection with alleged cheating of Bank of Maharashtra to the tune of Rs 800 crore through ...
Cyber cafe raided in Ulhasnagar; 24 held for obscenity,Business Standard,8 Apr 2015,http://www.business-standard.com/article/pti-stories/cyber-cafe-raided-in-ulhasnagar-24-held-for-obscenity-115040800635_1.html,... Govt hits back at opposition  says black money supporters observing 'Black Day' · Pharma shares tumble as Trump threatens to crackdown on drug prices.
IL&FS Eng bags Rs 191-cr proj for rural electrification in UP,Business Standard,25 Aug 2015,http://www.business-standard.com/article/pti-stories/il-fs-eng-bags-rs-191-cr-proj-for-rural-electrification-in-up-115082500966_1.html,IL&FS Engineering and Construction Company today said it has bagged Rs 190.88 crore project from Madhyanchal Vidyut Vitran Nigam Ltd (MVVNL) for rural ...
Sebi orders freezing NVD Sollar accounts to recover Rs 1K cr,Business Standard,21 May 2015,http://www.business-standard.com/article/pti-stories/sebi-orders-freezing-nvd-sollar-accounts-to-recover-rs-1k-cr-115052101255_1.html,Markets regulator Sebi today ordered attachment of bank and demat accounts of Kolkata-based NVD Solar and its promoters and directors for recovery of Rs ...
CPI(M) elects secretaries for Alappuzha  Wayanad,Business Standard,3 Jan 2015,http://www.business-standard.com/article/pti-stories/cpi-m-elects-secretaries-for-alappuzha-wayanad-115010300421_1.html,... : Saji Cheiryan and C K Saseendran were today unanimously elected as secretaries of CPI(M)'s Alappuzha and Wayanad district committees  party sources ...
Chhota Rajan: a petty criminal who went on to rule underworld,Business Standard,26 Oct 2015,http://www.business-standard.com/article/pti-stories/chhota-rajan-a-petty-criminal-who-went-on-to-rule-underworld-115102601259_1.html,From a black marketer of movie tickets to one of the most wanted men in India  dreaded don Chhota Rajan had a roller-coaster ride in the underworld in a crime ...
Ashiana partners Shriram Properties for residential project,Business Standard,13 Jul 2015,http://www.business-standard.com/article/pti-stories/ashiana-partners-shriram-properties-for-residential-project-115071301154_1.html,... rarer than elephants  put on extinction watch list: Biologists · Govt hits back at opposition  says black money supporters observing 'Black Day' · Pharma shares ...
Delhi govt introduces new online form DS2,Business Standard,11 Sep 2015,http://www.business-standard.com/article/pti-stories/delhi-govt-introduces-new-online-form-ds2-115091101062_1.html,In order to facilitate business in the national capital and prevent evasion of taxes  Delhi government has decided to introduce a new online form - Delhi Sugam-2 ...
Thane police arrest 7 men  claim to foil murder conspiracy,Business Standard,29 Jun 2015,http://www.business-standard.com/article/pti-stories/thane-police-arrest-7-men-claim-to-foil-murder-conspiracy-115062900921_1.html,With the arrest of seven persons including four 'sharp-shooters' from Uttar Pradesh  Thane police today claimed to have foiled a conspiracy to murder a BJP ...
'Join the Indian Army and Live a Life Less Ordinary',Business Standard,8 Oct 2015,http://www.business-standard.com/article/pti-stories/join-the-indian-army-and-live-a-life-less-ordinary-115100801205_1.html,... rarer than elephants  put on extinction watch list: Biologists · Govt hits back at opposition  says black money supporters observing 'Black Day' · Pharma shares ...
Girl student at IIIT commits suicide,Business Standard,3 Feb 2015,http://www.business-standard.com/article/pti-stories/girl-student-at-iiit-commits-suicide-115020301561_1.html,A 19-year-old girl student of International Institute of Information Technologies (IIIT) in Adilabad district allegedly committed suicide in her house this evening  ...
Morgan Stanley opens 1400-strong back-office in Bangalore,Business Standard,15 Apr 2015,http://www.business-standard.com/article/pti-stories/morgan-stanley-opens-1-400-strong-back-office-in-bangalore-115041500897_1.html,Wall Street bank Morgan Stanley today opened a back-office in Bangalore to help its global operations  which has a capacity to accommodate up to 1 400 ...
ATM fraud arrested,Business Standard,31 May 2015,http://www.business-standard.com/article/pti-stories/atm-fraud-arrested-115053100742_1.html,... Govt hits back at opposition  says black money supporters observing 'Black Day' · Pharma shares tumble as Trump threatens to crackdown on drug prices.
Gadkari unveils Rs 50000 crore AP road projects,Business Standard,5 Dec 2015,http://www.business-standard.com/article/pti-stories/gadkari-unveils-rs-50-000-crore-ap-road-projects-115120500616_1.html,The Centre is taking up road projects worth more than Rs 50 000 crore in Andhra Pradesh  including an Outer Ring Road (ORR) at Vijayawada  where the ...
Telangana govt to develop Yadagirigutta temple,Business Standard,25 Feb 2015,http://www.business-standard.com/article/pti-stories/telangana-govt-to-develop-yadagirigutta-temple-115022501312_1.html,Telangana Government would develop the Lord Lakshmi Narasimha Swamy temple at Yadagirigutta in Nalgonda district as a major spiritual centre by allocating ...
Black pepper prices to soften soon on Sri Lankan import,Business Standard,16 Nov 2015,http://www.business-standard.com/article/markets/black-pepper-prices-to-soften-soon-on-sri-lankan-import-115111600558_1.html,The sharp rise in black pepper prices is likely to moderate soon  in light of the increase in supply. This is not because of a rise in local production  but thanks to ...
Madhya Pradesh government announces state sports awards,Business Standard,29 Aug 2015,http://www.business-standard.com/article/pti-stories/madhya-pradesh-government-announces-state-sports-awards-115082900334_1.html,Ace shooter Varsha Varman  Karate player Ajay Yadav and Anjali Vashishta (Canoeing and Kayaking) among others will get Madhya Pradesh government's ...
What to Expect from Maruti Suzuki S-Cross,Business Standard,2 Jul 2015,http://www.business-standard.com/article/news-cd/what-to-expect-from-maruti-suzuki-s-cross-115070201466_1.html,Maruti Suzuki will soon launch its new compact crossover S-Cross which was recently showcased at the 2015 IIFA awards in Malaysia. Maruti Suzuki S-Cross is ...
Warangal made Greater Warangal municipal corporation,Business Standard,28 Jan 2015,http://www.business-standard.com/article/pti-stories/warangal-made-greater-warangal-municipal-corporation-115012801550_1.html,Telangana Chief Minister K Chandrasekhar Rao  who held a review on the subject with municipal officials and others  said Warangal expanded a lot with 42 ...
North East Sunfeast Cup tournament to kick off from Sep 22,Business Standard,15 Sep 2015,http://www.business-standard.com/article/pti-stories/north-east-sunfeast-cup-tournament-to-kick-off-from-sep-22-115091500618_1.html,... Govt hits back at opposition  says black money supporters observing 'Black Day' · Pharma shares tumble as Trump threatens to crackdown on drug prices ...
Egmore MM Courts will function in Allikulam Moore Market MM,Business Standard,31 Jul 2015,http://www.business-standard.com/article/pti-stories/egmore-mm-courts-will-function-in-allikulam-moore-market-mm-115080100169_1.html,Magistrate Courts which at Egmore here will shifted to Allikulam Moore Moore Market complex near the Central Railway Station from August one till the ...
Azure Power commissions 10 MW solar plant in Chhattisgarh,Business Standard,2 Jun 2015,http://www.business-standard.com/article/pti-stories/azure-power-commissions-10-mw-solar-plant-in-chhattisgarh-115060200428_1.html,... Govt hits back at opposition  says black money supporters observing 'Black Day' · Pharma shares tumble as Trump threatens to crackdown on drug prices.
