CBI arrests CRPF IG in recruitment scam,TopNews,6 May 2009,http://www.topnews.in/cbi-arrests-crpf-ig-recruitment-scam-2162554,... General of the CRPF along with a commandant of the force for alleged corruption and bungling in the recruitment of personnel for the anti-naxal force COBRA.
What killed Kamte?,Business Standard,22 Dec 2009,http://www.business-standard.com/article/beyond-business/what-killed-kamte-109122300019_1.html,Corruption  crass careerism and political meddling have hollowed out the Mumbai Police  once a premier force in India. “Even the legendary bonding amongst ...
City joins super cyclotron league,Times of India,13 Jun 2009,http://timesofindia.indiatimes.com/city/kolkata/City-joins-super-cyclotron-league/articleshow/4653776.cms,KOLKATA: India has joined the exclusive club of nations with superconducting cyclotron capability. On Saturday  Salt Lake-based Variable Energy Cyclotron ...
Notices to 8 IPS officers over missing bullet-proof jacket files,TopNews,1 Jan 2010,http://www.topnews.in/notices-8-ips-officers-over-missing-bulletproof-jacket-files-2249186,A probe by the Anti-Corruption Bureau (ACB) in 2004-2005 found that these bullet-proof jackets - purchased from NTB HiTech Ceramics  Pune at a total cost of ...
Police report confirms allegations on Chamundi,TopNews,23 Jul 2009,http://topnews.in/police-report-confirms-allegations-chamundi-2192955,Chamundi was axed from the ACA due to charges of corruption and misuse of funds last month  while two vice-presidents of the ACA and senior government ...
More cash found in Sarvaiya's lockers,Times of India,11 Apr 2009,http://timesofindia.indiatimes.com/city/vadodara/More-cash-found-in-Sarvaiyas-lockers/articleshow/4389875.cms,VADODARA: There is no respite for tainted police inspector JJ Sarvaiya. Anti-Corruption Bureau (ACB) of Vadodara on Saturday detected more cash  deposits ...
HP Excise Bill replaces Punjab Act,Chandigarh Tribune,16 Dec 2009,http://www.tribuneindia.com/2009/20091217/himachal.htm,He said the Vigilance was investigating the cases that were a clear illustration of corruption that took place during the Congress regime. Vidya Stokes  while ...
Coal On Its Face,Tehelka,6 Nov 2009,http://tehelka.com/story_main43.asp?filename=Ne141109coal_on.asp,But the irony was that the senior management of SECLwas informed about it in advance and as a result no evidence of corruption was found. The result of this ...
44 years after split  Singapore  Malaysia seek better terms,TopNews,3 Aug 2009,http://www.topnews.in/44-years-after-split-singapore-malaysia-seek-better-terms-2197626,... leader of the opposition Parti Islam SeMalaysia  met with Lee  he praised the city-state for its anti-corruption stance and its success in keeping the city clean.
Comrades then  foes now: CPM faces insider' test,Times of India,8 Apr 2009,http://timesofindia.indiatimes.com/city/kolkata/Comrades-then-foes-now-CPM-faces-insider-test/articleshow/4377259.cms,Like Mandal  another CPM heavyweight Radhika Ranjan Pramanik had also raised the corruption bogey and got expelled from CPM in 2003. Pramanik was an ...
Bulgarian skating champion jailed for deadly drunk-driving crash,TopNews,5 Jan 2009,http://www.topnews.in/bulgarian-skating-champion-jailed-deadly-drunkdriving-crash-2104769,Outraged families of the victims accused the court of corruption and launched the appeal. The new verdict also raised the compensation Staviiski must pay to the ...
Reforming Tihar jail and its inmates,TopNews,21 Dec 2009,http://www.topnews.in/reforming-tihar-jail-and-its-inmates-2246187,Have you brought down corruption in the administration? There is no corruption here. We have a transparent  impersonal system that allows visitors to set up ...
'I sleep a lot' - Asiya Kazi,India-Forums.com,10 Jul 2009,http://www.india-forums.com/tellybuzz/quick-grills/5033-i-sleep-a-lot-asiya-kazi.htm,... you would ask for: More wishes (laughs) if that's possible  or else will ask for the well being of everyone in this universe  ask for corruption to vanish and for the ...
Ensure development to end Naxal Menace in Orissa: MP,Orissadiary.com,5 Jul 2009,http://orissadiary.com/CurrentNews.asp?id=13248,The newly elected M.P said that prevailing rampant corruption is the major obstacle on the path of development in the region.The state government has failed in ...
Over 10000 BPS applications likely to be rejected,Times of India,9 Jun 2009,http://timesofindia.indiatimes.com/city/hyderabad/Over-10000-BPS-applications-likely-to-be-rejected/articleshow/4637437.cms,HYDERABAD: Over 10 000 building penalisation scheme (BPS) applications may not be considered for regularisation as they pertain to commercial buildings ...
Rediff.com » News » CPI-M General Secretary Prakash Karat ...,Rediff,15 Nov 2009,http://news.rediff.com/slide-show/2009/nov/16/slide-show-1-prakash-karat-speaks.htm,There is no doubt that defeat reveals more about the character of a person or institution than victory. Everyone can see how the Bharatiya Janata Party is ...
The kitchen initiative,Chandigarh Tribune,19 Sep 2009,http://www.tribuneindia.com/2009/20090920/spectrum/main1.htm,However  the programmes were mired in corruption  resulting in the intervention of the Supreme Court  which ordered hot cooked meals for schoolchildren.
Ushacomm To Launch VAS Services In Africa; Appoints Anagat ...,MediaNama.com (blog),10 Sep 2009,http://www.medianama.com/2009/09/223-ushacomm-to-launch-vas-services-in-africa-appoints-anagat-pareek-business-head/,logo-ushacomm UshaComm  which provides billing related Business Support Systems (BSS) for fixed  mobile  broadband/IP primarily in Africa  is entering the ...
Campaigns urge youth to wake up and vote for honest leaders,Livemint,12 Apr 2009,http://www.livemint.com/Politics/vSW8xm97piCdBzAQbqH8pJ/Campaigns-urge-youth-to-wake-up-and-vote-for-honest-leaders.html,The film shows a number of people taking a vow to vote this year against all injustices and corruption. Apart from these national campaigns  several local level ...
Latvian political protest turns into riot,TopNews,13 Jan 2009,http://www.topnews.in/latvian-political-protest-turns-riot-2109402,Demonstrators were motivated by issues such as levels of corruption in public life  a struggling economy  tax hikes  rising unemployment and cuts in social ...
BJP  Cong lock horns over Kullu rally,Chandigarh Tribune,7 May 2009,http://www.tribuneindia.com/2009/20090508/himachal.htm,The ruling BJP and the Congress have locked horns over the holding of election rallies of their star campaigners Rahul Gandhi and Narender Modi at the same ...
Enforcement Directorate shake up — 15 assistant directors transferred,Times of India,10 Aug 2009,http://timesofindia.indiatimes.com/india/Enforcement-Directorate-shake-up-15-assistant-directors-transferred/articleshow/4878727.cms,The expansion was in light of the government's focus on curbing drug and terrorist financing and targeting corruption across the country. Prior to the expansion  ...
IPS officer held for smuggling heroin,Chandigarh Tribune,25 Jan 2009,http://www.tribuneindia.com/2009/20090126/main8.htm,The NCB came under the cloud in the past after its officer Ravi Kant Pavar was arrested in a corruption case on the complaint of a Kullu resident  whose brother ...
RoundUp: iDiva; Idea Cellular; MTN-Bharti; BSNL & WiMAX; ROK ...,MediaNama.com (blog),18 Jun 2009,http://www.medianama.com/2009/06/223-roundup-idea-cellular-mtn-bharti-bsnl-idiva-rok-world-cyber-games/,idiva-logo-optimised1 iDiva Logs 2M Visitors – Women's site iDiva.com by Times Internet Ltd (Indiatimes) has registered 2 million unique visitors in six months  ...
I AM WARM – World Bank In India,CounterCurrents.org,21 Jan 2009,http://www.countercurrents.org/patel210109.htm,But the reasons they quote are not in the design of the projects  but fraud  corruption and caste discrimination which is prevalent in Indian society. As we drove ...
John Abraham to endorse Bindass' 1st CSR campaign,Indiantelevision.com,26 Feb 2009,http://www.indiantelevision.com/mam/headlines/y2k9/feb/febmam91.php,The channel claims that the next phases of the initiative will look at other issues affecting the youth of today such as global warming and corruption. “After 'voting' ...
Cops training to include New Age crime,Times of India,21 Feb 2009,http://timesofindia.indiatimes.com/city/bengaluru/Cops-training-to-include-New-Age-crime/articleshow/4167330.cms,Bangalore : It may not be immediately apparent but Karnataka police are changing. They're gearing up to deal with terrorism and cyber crime  adopt technology ...
The wretched of the earth,Times of India,18 Dec 2009,http://timesofindia.indiatimes.com/india/The-wretched-of-the-earth/articleshow/5355134.cms,... Scheme (NREGS)  the Mid Day Meal Scheme and the Integrated Child Development Scheme (ICDS) - are heavily compromised by corruption and violations  ...
'China's fully awake today  should we tremble?',Rediff,7 Oct 2009,http://news.rediff.com/slide-show/2009/oct/06/slide-show-1-is-china-really-a-superpower.htm,Last week  Claude Arpi explored the rise of the People's Republic of China to its projection as a soft superpower. China: A full circle 60 years later. Here  he ...
CEO  Louis Dreyfus Commodities Ltd. Discusses Agricultural ...,Cool Avenues,27 Jul 2009,http://www.coolavenues.com/bschools/090509/iift-agri-mktg-1.php,Yet  infrastructure is floundering  six out of ten Indians still live in villages and corruption is rampant in PDS and other aid schemes  lamented Mr.Ambady.
Orkut Interview Part 2: On Applications  Integration Of Google ...,MediaNama.com (blog),1 Sep 2009,http://www.medianama.com/2009/09/223-orkut-interview-part-2-on-applications-integration-of-google-properties-mobile-orkut-promote/,(By Preethi J & Nikhil Pahwa) orkut Google owned Orkut is believed to be the largest social network in India in terms of userbase  with claims of around 13-15 ...
OnMobile Ties Up With Telefonica In Latin America; To Invest $50M ...,MediaNama.com (blog),16 Jul 2009,http://www.medianama.com/2009/07/223-onmobile-ties-up-with-telefonica-in-latin-america-to-invest-50m-market-data/,onmobile-telefonica OnMobile Global  a BSE listed Mobile Value Added Services company  has inked a deal with Telefonica Internacional for exclusive and ...
CBI set to prosecute CPM Kerala boss  party in a fix,Indian Express,22 Jan 2009,http://archive.indianexpress.com/news/cbi-set-to-prosecute-cpm-kerala-boss-party-in-a-fix/414003/,CBI's move to seek Government's consent to prosecute the accused in politically sensitive SNC Lavalin corruption case is expected to make the Lok Sabha poll ...
Q409 Results: Zee News Net Profit Declines 41% To Rs. 89.2 Million,MediaNama.com (blog),23 Apr 2009,http://www.medianama.com/2009/04/223-q409-results-zee-news-net-profit-declines-41-to-rs-892-million/,Advertising contributed 77% to Zee News Ltd's total consolidated revenues of Rs. 1.38 billion for the quarter ended March 31st 2009. The company posted a net ...
IndLaw.com Acquired By Thomson Reuters; On Synergy And Services,MediaNama.com (blog),9 Jul 2009,http://www.medianama.com/2009/07/223-indlawcom-acquired-by-thomson-reuters-on-synergy-and-services/,thomson-indlaw Media and financial services company Thomson Reuters has acquired Delhi-based Indlaw Communications  VCCircle reports. The amount ...
Q1-10: Zee News Net Profit Rises 33.8%; Ad Contribution Rises; 24 ...,MediaNama.com (blog),24 Jul 2009,http://www.medianama.com/2009/07/223-q1-10-zee-news-net-profit-rises-338-ad-contribution-rises-24-ghanta-suffers-loss/,zeenews-logo Zee News  which operates six regional news channels and a business channel  has experienced a good start to the new fiscal with net profit ...
Arroyo Regime In The Philippines Crowns Its Rule Of State Terror ...,CounterCurrents.org,3 Dec 2009,http://www.countercurrents.org/sanjuan031209.htm,Arroyo ends her de facto president plagued with corruption scandals and the worst human-rights record of any presidency  even including Ferdinand Marcos'.
'The Left became monsters',Rediff,14 May 2009,http://election.rediff.com/interview/2009/may/14/loksabhapoll-interview-with-mahashweta-devi.htm,No one can bring any charge of corruption against her. She is an extremely hardworking person with an acceptable personality. Any distressed soul can rest on ...
Balijas to protest  seek inclusion in 2A category,Times of India,18 Feb 2009,http://timesofindia.indiatimes.com/city/mysuru/Balijas-to-protest-seek-inclusion-in-2A-category/articleshow/4151186.cms,MYSORE: Members of Mysore District Balija Mahila Sangha will stage a protest at the deputy commissioner's office urging for change of reservation status of the ...
TRAI Considers Bringing DTH Portability; Issues & Implications,MediaNama.com (blog),16 Jun 2009,http://www.medianama.com/2009/06/223-trai-plans-dth-portability-fixed-cable-tv-tariffs/,Telecom regulatory authority of India  TRAI  is planning to introduce portability to DTH set top boxes  DNA reports. If its suggestion goes through  competition will ...
GuestPost: How Mobile Music Revenues Are Split In India,MediaNama.com (blog),20 May 2009,http://www.medianama.com/2009/05/223-guestpost-how-mobile-music-revenues-are-split-in-india/,There is no issue with handset compatibility and both these apps are piracy proof. They play as stream from the telecom operator servers and are never ...
Aquino's family declines state funeral offer,Reuters India,2 Aug 2009,http://in.reuters.com/article/idINIndia-41485320090802,Aquino was once an ally of Arroyo but had joined the campaign for her removal after the current president was accused of corruption and election fraud.
Thousands rally against racism in Melbourne,Times of India,31 May 2009,http://timesofindia.indiatimes.com/world/Thousands-rally-against-racism-in-Melbourne/articleshow/4599752.cms,MELBOURNE: Shaken by a wave of racial assaults  thousands of Indian students and supporters rallied here on Sunday  demanding justice for victims of recent ...
Google To Buy AdMob For $750M; The Display Play; In India,MediaNama.com (blog),9 Nov 2009,http://www.medianama.com/2009/11/223-google-to-buy-admob-for-750m-the-display-play-in-india/,admob-google Mobile is becoming a significant play for Google  and as the Android juggernaut prepares to conquer the world  Google has put the monetization ...
FY09: Adlabs Films Posts Rs.513.7M In Losses; Big Cinemas To ...,MediaNama.com (blog),2 Jul 2009,http://www.medianama.com/2009/07/223-fy09-adlabs-films-posts-rs5137m-in-losses-big-cinemas-to-expand/,adlabslogo Reliance ADAG group firm Adlabs Films owned Big Cinemas will be expanding into Netherlands and Nepal this year. During FY 2009  the theatre ...
Call centre staffer killed in Nerul dumper mishap,Times of India,21 Mar 2009,http://timesofindia.indiatimes.com/city/mumbai/Call-centre-staffer-killed-in-Nerul-dumper-mishap/articleshow/4298131.cms,NAVI MUMBAI: A speeding dumper hit a motorcycle from behind on Palm Beach Road early on Saturday morning  killing a 22-year-old call centre employee and ...
The modest topper: Nagpur girl 49th in UPSC,Times of India,7 May 2009,http://timesofindia.indiatimes.com/city/nagpur/The-modest-topper-Nagpur-girl-49th-in-UPSC/articleshow/4497164.cms,NAGPUR: Getting into the civil services was a dream since childhood  but when that dream came true on Monday  a modest Manasi Sahay chose to celebrate ...
Drugs killed Michael Jackson: Deepak Chopra,Times of India,27 Jun 2009,http://timesofindia.indiatimes.com/india/Drugs-killed-Michael-Jackson-Deepak-Chopra/articleshow/4711208.cms,Drugs killed Michael Jackson  says longtime friend Deepak Chopra. And they were prescribed by one of the many celebrity doctors in Hollywood who are ...
India's poor healthcare a threat to growth-report,Reuters India,15 Sep 2009,http://in.reuters.com/article/idINIndia-42468920090915,Indian authorities acknowledge there is corruption and inefficiency in the government system  especially in villages where many health centres do not have ...
Forensic report confirms two Kashmiri women were raped,Times of India,7 Jun 2009,http://timesofindia.indiatimes.com/india/Forensic-report-confirms-two-Kashmiri-women-were-raped/articleshow/4627867.cms,SRINAGAR: In a major embarrassment to the Jammu and Kashmir government that had so far maintained that the two south Kashmir women found dead last ...
Shirdi's solar cooker finds a place under sun,Deccan Herald,30 Jul 2009,http://www.deccanherald.com/content/16952/shirdis-solar-cooker-finds-place.html,Buta Singh's son arrested on corruption charges · Read more >>. You are here: Home » National » Shirdi's solar cooker finds a place under sun ...
Road-rail corridor to bring Alibaug closer,Times of India,10 Jun 2009,http://timesofindia.indiatimes.com/city/mumbai/Road-rail-corridor-to-bring-Alibaug-closer/articleshow/4641984.cms,MUMBAI: A 100-km corridor  the first of its kind in the Mumbai Metropolitan Region  is being planned from Virar to Alibaug. This Rs 12 000-crore connector will ...
2 BTech students  3 others die in accidents,Times of India,30 Apr 2009,http://timesofindia.indiatimes.com/city/hyderabad/2-BTech-students-3-others-die-in-accidents/articleshow/4469581.cms,HYDERABAD: Five persons  including two engineering students  died and nine others suffered injuries in two separate accidents in the Cyberabad ...
India Takes a Major Step to Empower Women,Daijiworld.com,27 Aug 2009,http://www.daijiworld.com/news/news_disp.asp?n_id=64768,New Delhi  Aug 27 (IANS) In one of its biggest steps yet to empower women in public life  the Indian government has decided to reserve 50 percent seats for ...
Vindication of our stand: Teesta,Chandigarh Tribune,27 Apr 2009,http://www.tribuneindia.com/2009/20090428/nation.htm,The BJP today rejected demand for the resignation of Gujarat Chief Minister Narendra Modi claiming that the Supreme Court's directions to SIT to probe certain ...
Jolly Days,Times of India,24 Jan 2009,http://timesofindia.indiatimes.com/entertainment/kannada/movie-reviews/Jolly-Days/articleshow/4025828.cms,Film: Jolly Days (romance) Cast:Pradeep  Aishwarya Nag  Praveen  Vishwas  Spoorthi  Niranjan  Ruthika  Keerthi Direction:M D Sridhar Critic's rating:.
Q1-10: Sify Losses Reduce; Consumer Revenues Down 30.82 ...,MediaNama.com (blog),29 Jul 2009,http://www.medianama.com/2009/07/223-q1-10-sify-losses-reduce-consumer-revenues-down-3082-samacharcom-mobile/,No comments from Nasdaq listed Indian Internet and IT company Sify Technologies on the long pending settlement with Yahoo: company officials  responding to ...
Home Gaming Xbox Live Arcade to unveil Interpol: The Trail of Dr ...,TechShout! (blog),6 Jan 2009,http://www.techshout.com/gaming/2009/06/xbox-live-arcade-to-unveil-interpol-the-trail-of-dr-chaos-as-the-first-title-of-2009/,Voyaging from one city to another around the globe  the main goal of this agency is to eliminate all corruption. While moving through international cities  gamers ...
Cricket betting racket busted  6 arrested with Rs 5 lakh seizure,Times of India,29 Oct 2009,http://timesofindia.indiatimes.com/city/rajkot/Cricket-betting-racket-busted-6-arrested-with-Rs-5-lakh-seizure/articleshow/5177760.cms,RAJKOT: Six bookies were arrested for running a betting network in Shapar Veraval area of the city on Wednesday. Police seized booty worth Rs 5 lakh  ...
New woman old trappings,Chandigarh Tribune,24 Jul 2009,http://www.tribuneindia.com/2009/20090725/saturday/main1.htm,They were deeply impressed with Kalyani's idealism and self-confidence   and they admired her courage to fight corruption from within the system. Kalyani ...
