Real Estate Shares Tumble On Government's Black Money ...,NDTV,8 Nov 2016,http://profit.ndtv.com/news/market/article-real-estate-shares-tumble-on-governments-black-money-crackdown-1623144,While declaring a "decisive" war against black money and corruption  he also came out with a slew of steps to assure commoners that their money is safe.
Action against black money: Ban likely on cash deals over ₹3 lakh,Hindustan Times,23 Aug 2016,http://www.hindustantimes.com/business-news/action-against-black-money-ban-likely-on-cash-deals-over-3-lakh/story-MPLpworgfgzGFbto6qxlcM.html,In a bid to curb black money  the government is considering a recommendation of the Special Investigation Team (SIT) to ban cash transactions of over ₹3 lakh.
War on black money: Ramdev lauds 'honest' PM,Daily News & Analysis,8 Nov 2016,http://www.dnaindia.com/india/report-war-on-black-money-ramdev-lauds-honest-pm-2271653,After Prime Minister Narendra Modi stunned everyone with his decision to scrap Rs. 500 and Rs. 1 000 notes in a bid to control black money and corruption  ...
Black money: Modi govt's move to bring in new notes explained in 8 ...,Business Standard,8 Nov 2016,http://www.business-standard.com/article/economy-policy/black-money-modi-govt-s-move-to-bring-in-new-notes-explained-in-8-graphics-116110900156_1.html,In a surprise move aimed at clamping down on black money as well as counterfeit notes in circulation  Prime Minister Narendra Modi on Tuesday announced ...
Modi's war on black money is a let-down  amnesty schemes cheat ...,DailyO,19 Jul 2016,http://www.dailyo.in/business/black-money-narendra-modi-arun-jaitley-tax-amnesty-income-tax-mann-ki-baat-vdis/story/1/11858.html,The amnesty window under the Black Money (Undisclosed Foreign Income and Assets) and Imposition of Tax Act  2015  garnered a paltry Rs 2 262 crore of tax ...
Beating The Black Money Debacle,BW Businessworld,5 Dec 2016,http://businessworld.in/article/Beating-The-Black-Money-Debacle/05-12-2016-109273,Terrorist financing through the proceeds of counterfeit currency  usage of black money for narcotics  trafficking  espionage and other illegal activities has also ...
Demonetisation a great flood that would swipe out black money and ...,The New Indian Express,27 Nov 2016,http://www.newindianexpress.com/nation/2016/nov/27/demonetisation-a-great-flood-that-would-swipe-out-black-money-and-corruption-amit-shah-1543210.html,BENGALURU: BJP national president Amit Shah likened demonetisation to a giant flood that would rid the country of black money and corruption. He was ...
War on black money: Amar Singh hails PM Modi's 'courageous ...,Daily News & Analysis,26 Nov 2016,http://www.dnaindia.com/india/report-war-on-black-money-amar-singh-hails-pm-modi-s-courageous-experiment-2277288,Though it was implemented without "proper arrangements"  the sudden implementation of the move helped prevent "adjustment" of black money and ...
Sensex ends 339 points down on black money measures  Trump win,The Hindu,9 Nov 2016,http://www.thehindu.com/business/markets/sensex-ends-339-points-down/article9323844.ece,Markets went off the rails as Sensex crashed 1 689 points and Nifty over 541 points in early session after a surprise Donald Trump win and the government's ...
Rs 2300 crore black money detected by DGCEI,Financial Express,20 Oct 2016,http://www.financialexpress.com/india-news/rs-2300-crore-black-money-detected-by-dgcei/425393/,The Directorate General of Central Excise Intelligence (DGCEI) has detected and seized massive records of black money to the tune of Rs 2 300 crore at a ...
Black money SIT tells ED to probe 788 exporters,Livemint,21 Jul 2016,http://www.livemint.com/Politics/fg87tbT7jCq7VB2kkjaFJI/Black-money-SIT-tells-ED-to-probe-788-exporters-.html,All exporters have to bring foreign exchange into the country as export proceeds within one year of the date of exports  according to RBI regulations.
Are You A Single Indian? The PM's 'Yajna' Against Black Money ...,Huffington Post India,8 Dec 2016,http://www.huffingtonpost.in/2016/12/08/are-you-a-single-indian-the-pms-yajna-against-black-money-ca/,The PM's 'Yajna' Against Black Money Can Be The 'Agnipariksha' For Your Dates! Where there's a chance  dance. 08/12/2016 4:41 PM IST | Updated 11 hours ...
War on black money | Private hospitals urge govt to allow them take ...,Daily News & Analysis,9 Nov 2016,http://www.dnaindia.com/india/report-war-on-black-money-private-hospitals-urge-govt-to-allow-them-take-rs-500-rs1000-notes-2271897,In a major fight against black money  Prime Minister Narendra Modi on Tuesday night announced that Rs 1 000 and Rs 500 notes will not be considered legal ...
Despite $10 billion in tax net  Modi sarkars amnesty is a colossal ...,DailyO,7 Oct 2016,http://www.dailyo.in/business/black-money-amnesty-ids-income-tax-arun-jaitley-modi-sarkar/story/1/13304.html,Howsoever pliable the statistics might be  the fact remains that declarations of Rs 65 250 crore under the black money disclosure scheme could attract just a ...
Modi's Surgical Strike on Black Money Will Also Hit Poll Campaigns,The Quint,10 Nov 2016,https://www.thequint.com/opinion/2016/11/10/demonetisation-black-money-election-rs-500-note-rs-1000-campaigns-in-states-note-narendra-modi,There is a saying in Hindi – hamaam mein sab nange hain – primarily indicating the universality of corrupt practices. This phrase is apt for Indian politics and ...
